style	count
Electronic---Tropical House	94
Electronic---Ambient	48
Electronic---Downtempo	47
Electronic---House	46
Electronic---Chillwave	24
Electronic---Deep House	20
Electronic---Dubstep	17
Electronic---Synthwave	12
Electronic---Electro House	10
Rock---Indie Rock	10
Folk, World, & Country---Folk	9
Funk / Soul---Funk	9
Hip Hop---Trap	8
Electronic---Glitch	8
Hip Hop---Instrumental	8
Electronic---Synth-pop	7
Rock---Alternative Rock	6
Electronic---Grime	6
Electronic---Progressive House	6
Hip Hop---Cloud Rap	5
Electronic---Experimental	5
Electronic---Electro	5
Electronic---Trance	5
Electronic---Halftime	4
Electronic---Drum n Bass	4
Electronic---Dungeon Synth	4
Classical---Contemporary	4
Rock---Punk	4
Electronic---Techno	3
Rock---Dream Pop	3
Electronic---Nu-Disco	3
Electronic---Progressive Breaks	3
Hip Hop---Turntablism	3
Electronic---Bassline	3
Electronic---Juke	3
Electronic---Vaporwave	3
Hip Hop---Gangsta	2
Classical---Baroque	2
Funk / Soul---Afrobeat	2
Stage & Screen---Soundtrack	2
Electronic---IDM	2
Reggae---Dub	2
Funk / Soul---Contemporary R&B	2
Jazz---Afrobeat	2
Rock---Pop Rock	2
Jazz---Ragtime	2
Electronic---Broken Beat	2
Electronic---Chiptune	2
Folk, World, & Country---Flamenco	2
Hip Hop---G-Funk	2
Jazz---Fusion	1
Electronic---Disco Polo	1
Pop---K-pop	1
Funk / Soul---Disco	1
Rock---Surf	1
Pop---J-pop	1
Children's---Nursery Rhymes	1
Stage & Screen---Score	1
Jazz---Smooth Jazz	1
Electronic---Tech Trance	1
Electronic---Disco	1
Classical---Neo-Classical	1
Rock---Folk Rock	1
Pop---Music Hall	1
Electronic---Happy Hardcore	1
Funk / Soul---Boogie	1
Reggae---Reggae	1
Electronic---Future Jazz	1
Pop---Ballad	1
Funk / Soul---Soul	1
Electronic---Big Beat	1
Reggae---Roots Reggae	1
Reggae---Ragga	1
Electronic---Hip Hop	1
Latin---Norteño	1
Rock---Psychedelic Rock	1
Hip Hop---Boom Bap	1
Folk, World, & Country---Country	1
Rock---Ethereal	1
